symbo;name;sector
300999;YIHAI KERRY ARAWANA HOLDINGS LTD A;Consumer Staples
601567;NINGBO SANXING MEDICAL ELECTRIC LT;Industrials
600161;BEIJING TIANTAN BIOLOGICAL PRODUCT;Health Care
000617;CNPC CAPITAL LTD A;Financials
002625;KUANG-CHI TECHNOLOGIES LTD A;Industrials
603806;HANGZHOU FIRST APPLIED MATERIAL LT;Information Technology
002078;SHANDONG SUNPAPER LTD A;Materials
603939;YIFENG PHARMACY CHAIN LTD A;Consumer Staples
600018;SHANGHAI INTERNATIONAL PORT (GROUP;Industrials
600803;ENN NATURAL GAS LTD A;Utilities
600415;ZHEJIANG CHINA COMMODITIES CITY GR;Consumer Discretionary
000661;CHANGCHUN HIGH & NEW TECHNOLOGY IN;Health Care
002916;SHENNAN CIRCUITS LTD A;Information Technology
002252;SHANGHAI RAAS BLOOD PRODUCTS LTD A;Health Care
600196;SHANGHAI FOSUN PHARMACEUTICAL (GRO;Health Care
603198;ANHUI YINGJIA DISTILLERY CO LID LT;Consumer Staples
600177;YOUNGOR FASHION LTD A;Real Estate
300413;MANGO EXCELLENT MEDIA LTD A;Communication
002422;SICHUAN KELUN PHARMACEUTICAL LTD A;Health Care
002601;LB GROUP LTD A;Materials
300782;MAXSCEND MICROELECTRONICS LTD A;Information Technology
688396;CHINA RESOURCES MICROELECTRONICS L;Information Technology
600918;ZHONGTAI SECURITIES LTD A;Financials
600009;SHANGHAI INTERNATIONAL AIRPORT LTD;Industrials
688599;TRINA SOLAR LTD A;Information Technology
601377;INDUSTRIAL SECURITIES LTD A;Financials
688009;CHINA RAILWAY SIGNAL & COMMUNICATI;Information Technology
000423;DONG-E-E-JIAO LTD A;Health Care
HSBFT;CASH COLLATERAL USD HSBFT;Cash and/or Derivatives
000876;NEW HOPE LIUHE LTD A;Consumer Staples
300628;YEALINK NETWORK TECHNOLOGY LTD A;Information Technology
600584;JCET GROUP LTD A;Information Technology
002129;TCL ZHONGHUAN RENEWABLE ENERGY TEC;Information Technology
